clean_text,label_encoded
ongkir terlalu mahal tidak seperti dulu,0
saya merasa puas karena banyak diskonnya,2
aplikasi beratlag patah patah baru masuk aja udah langsung di live toko mending aplikasi sebelah aja,0
saya disini sebagai penjual mau mengucapkan terima kasih banyak buat shopee yg makin hari potongan yg dibebankan ke penjual semakin gak ngotak saran saya naikin aja terus biaya admin ke penjual sampai pucuk,0
tolong di perbaikilah,2
sangat membantu,2
puas belanja di shopee,2
suka bangettttt,2
dapat dipercaya,2
kadang pengirimannya lambat untuk area makassar tapi selebihnya okay aja berkah yaa,2
sangat membantu kebutuhan,2
pengalaman saya belanja d shopee belum pernah kecewa udah lama ngadain shopee selalu oke,2
tolong dong shopee aku mau baca wp kenapa muncul iklan shopee terus ganggu kenyamanan banget tolong yaa🙏🥲,1
𝒔𝒂𝒏𝒈𝒂𝒕 𝒑𝒖𝒂𝒔 𝒑𝒆𝒔𝒂𝒏𝒂𝒏 𝒔𝒆𝒔𝒖𝒂𝒊 𝒑𝒆𝒓𝒎𝒊𝒏𝒕𝒂𝒂𝒏,2
menjadi mudah mencari yg susah😁😁😁,2
sangat membantu sekali,2
apk bagus barang selalu sesuai dan pelayanan baik dan sopan,2
memudahkan untuk belanja,2
insya allah barang yang selalu di kirim bagus dan real peack walau pun agak lama respon dari penjual nya deh waktu pengiriman sesuaidan kurir yang selalu mengantar ramah tamah ☺️ ongkir selalu gratis ongkir,2
ok,2
min iklan di wattpad di kurangin yaa terganggu soalnya😊,2
mantap,2
thanks to shopee,2
sangat bagus,2
kau bisa gak gk usah muncul di geme ku ganggu aja kau,0
mantap,2
sejauh saya memakai apk belanja shopee baik bagus dan murah tp utk barang original harus selektif dan detail sebelum membeli,2
makin lambat,0
sangat membantu,2
pokok nya oklah,2
banyak gratis ongkir,2
g bisa cod lagi,0
pelayanan baik,2
oke sheep aku mau belanja lewat shopee sekarang juga,2
sangat membantu,2
selalu menyenangkan dan membantu segala keperluan tanpa ribet good job shopeee,2
shoopee ongkirnya tidak terlalu mahal tapi kadang barang yg dipesan tidak sesuai dengan apa yg dipesan,2
ah cape gua makin kesini shoope kaga dpt driver waktu malem posisi juga di kota gua laper pesen makanan di shoope gadapet driver disitu masih gua maklumi karena udh tengah malem mungkin driver udh pada tidur besok siang gua nyoba pesen lagi makanan di shoope udh x coba pesen udah gua tunggu sampe hampir setengah jam kga dapet driver kesel banget gua tolong benerin masalah ini percuma gua banyak voucher gratis ongkir tp ga kepake karena masalah driver doang,0
gara ai assistant penjual jadi slow respon bikin gedek padahal yg dibutuhin yg paham alias penjual aslinya harus pencet sana sini biar baru di alihkan ke penjual,0
cod melalui shopee sangat berguna,2
pengiriman nya selalu cepat sukaaaaa,2
sangat cepat mudah,2
semenjak ada shopee jadi mles belanja k pasar semua produk di shopee ori murah dan selalu dapet phocer ongkir trimakasih shopee semoga selalu amanah dan trus berjaya,2
barang sesuai deskripsi cuma sayang akhir ini pengirimanya agak lama estimasinya,2
shoppe luar biasa,2
shopee aplikasi belanja online yg sangat mudah simpel terbaik 👍🙏,2
kenapa ya shopee saya kena hack tiba ada yang login di perangkat lain dan ada yg nelpon mengaku dari kantor shopee,1
👍🏻👍🏻👍🏻belanja mudah komplain mudah respon cepat pengembalian dana mudah amanah bertanggung jawab pokoknya apk ini bagus 👍🏻👍🏻👍🏻,2
sangat membantu belanja ibu yg sibuk dengan kerjaan,2
belanja lebih mudah dan apapun yg saya butuhkan pasti ada makasih shoopi,2
mantaaaapppp,2
demi allah yaa shopee gue setiap buka aplikasi apapun itu mau sosmed atau game atau web baru buka lansung di ahlikan ke shopee lama lama kesel liatnya sekali duakali oke masih disabarin lah ini hampir tiap buka aplikasi selalu begitu apa kaga emosi dikira hp yang error tapi kenapa diahlikan ke shopee mulu bukan ke semua aplikasi yang ada di hp pas liat ada yang sama kaya saya ohh ternyata bener emng shopee yang rese iklannya tolong lain kali jangan terlalu berlebihan iklanin aplikasinya,1
selalu puas dengan shopee selalu mengutamakan kepuasan konsumen saat barang tidak sesuai dengan pesanan tidak khawatir barang tidak terpakai karena bisa di tukar atau pengembalian dana terimakasih shopee 😍😍😍😍,2
astagfirllah lemotnya super mega yaaa lemot banget ampun tobat saya nyusahin banget mau belanja itu video ga penting ga pernah buka juga loading terus tolong perbaiki bikin saya istigfar terus nih shopee ini komen saya update lagi lemot banget cok,0
bagus 👍,2
gak usah pakek aplikasi ini banyak penipudi dalamnya shopy gak bisa menjamin kepuasan pelanggan utk saat ini jangan mau terpicu dengan iming dari shopy malah akan rugi zonk besar ada barang gak sampek uang ilang,0
aplikasi nya bagus walaupun lebih sering pakai lazada🗿,2
oke rekomendate,2
bagus apk nya sangat membantu,2
aplikasinya bagus untuk mempermudah belanja dari rumah tpi kenapa sih suka maksa maksain iklan dimana mana kadang gak dipencet pun beralih sendiri ke apknya bikin gak nyaman,0
apk jadi lemot,0
kenapa shopee updet mulu ini gk bisa co udah sebulan mohon perbaikannya gimana padahal udah pake persi terbaru,0
bagus dan membantu,2
pls iklan mah iklan ajaa jangan tiba tiba masuk apk shopee padahal gak mencet apa apa semua udah tau shopee tanpa iklan iklan mulu,0
buruk sekarang pesen tgl dari jakarta ke jawa bisa sampae hari,0
maaf sebelumnya saya cuman kasih bintang sbnernya di apk shopee pengirimannya lama sekali pesananku dikirim oleh sicepat ekspres sampai sekarang blum kunjung datang padahal udah melebihi estimasi tiba kalo tau kaya gini mah mending beli di apk sebelah aja,0
suka blnja di shopee ramah dan amanah,2
soppy saya tak bisa cod bikin kecewa aja lamadolo lancar aja sekarang makin parah,0
makasih shopee udah langganan belanja disini saya sangat senang cuma kadang ada oknum toko yg nakal tidak amanah tp gak papa bwt pembelajaran aku makin sukses shopee ☺️🫰,2
belanja gak perlu pergi kapanpun di mana pun ok,2
codnya mantap gratis ongkir sampai rupiah,2
tolong ya itu shopee video bikin kuota habis sama ngelag jgn langsung terbuka otomatis waktu buka aplikasi,0
bagus banget,2
pengiriman agak lambat tapi sesuai dengan estimasi,2
ingintal kok tidak bisa gimana sih aplikasunyaaa,0
mudah dan membantu dalam belanja,2
ok bagus terima kasih membantu banget untuk kebutuhan ku masa pandemi virus ini,2
semua belanja di permudah oleh shopee terima kasih shopee,2
shopee indonesia sangat bagus,2
sangat terpercaya,2
mantap,2
mudah berbelanja dengan banyak pilihan alternatif tingkatkan pelayanannya hadiah game nya agar diperbesar plus ongkirnya juga terima kasih shopee,2
mantap,2
sekarang pengirimannya lama yg biasa hr sampai sekarang minggu lebih baru nyampe,0
super recommended dah pokok nya,2
sangat membantucepat pengiriman sesuai estimasi dan kurir sgt ramahterimakasih,2
iklan shoppe tuh jangan kebanyakan lah lagi main game iklan nya shoppe lagi buka chrome kepencet iklan yang muncul shoppedi youtube iklan nya shoppe lagi kadang kadang kalau iklan tombol x nya sering dibuat palsu biar kepencet iklan nya,0
matap,1
suka aja sih barang nya bagus sama murah meriah dan kalo kita perlu atau pengen beli sesuatu tinggal di cari apa yang kita mau langsung keluar deh,2
dari awal sampai sekarang sangat puas terima kasih semoga semakin berkembang,2
aplikasi shopee memang mantap,2
bagus sangat membantu kaum pemalas yg malas belanja offline 🗿🗿🗿 trusss ongkirnya dri jawa ke kaltim ga mahal kadang gratis ongkirr jugaaaa🙂💖,2
ampas co barang di batasi,0
suka belanja di sophielebih murah menghemat waktu dan tenaga tinggal klik bayar tunggu barang dtang,2
good,2
ok,2
sangat puas belanja di shopee,2
singkat saja ini keren🤩,2
sangat bagus pelayananya,2
sekarang d hp ku yang ramnya besar lancar banget pake shopeedan blnja apa saja alhamdulillah masih gratis ongkir,2
belanja di shopee sangat nyaman harga terjangkau kualitas produk juga bagus 👍,2
informasi komunikasi yg responsif,2
aplikasi penipu pengiriman lama,0
sangat memudahkan dalam belanja,2
jos,2
kapasitas kegedean bikin memeori penuh suka ngelag pula tolong diperbaiki dong,1
aplikasi yg sangat berguna,2
udah lama ngajuin retur ga ada respon malah di batalkan ga tau kenapa,0
pengiriman shopee skarang sangat lambat padahal bulan kemaren cepet banget,0
pelayanan shopee luar biasa saat pemesanan barang ga bsa berkata apa² pokoknya amanah top markotop,2
susah sekali masuk verifikasi wajah sudah puluhan kali nyoba tetap gagal,2
shopee the best selalu amanah,2
👍,2
bagus tapi banyak yg gak sesuai gambar,2
lumayan,2
sangat puas,2
tolong dong hilangin fitur double order kalo lagi pesen makanan jadi makin lamaaaa nyampe nya apalagi kalo lagi butuh makanan cepet,0
sangat baik,2
siip,2
keren banget shopee nya banyak diskon dan gratis ongkir pengiriman super cepat walau jaraknya sangat jauh lebih suka belanja di sini daripada di aplikasi lain sukses selalu ⭐⭐⭐⭐⭐,2
biar bintang 🌟yg berbicara,2
shopee sip,2
sangat membantu,2
lambat harus verifikasi wajah padahal cuma pindah perangkat lain password dan email sama no hape ingat semua padahal cuma buat beli aja,1
yamakasih buat shopeedah banyak membantubaik yg sibuk maupun tidakmemenuhi pa yg kita inginkanpuas west makasih,2
pelayanan yg memudahkan bagi kami yg sll sibuk cari waktu luang untuk belanja dan barangnya ok sesuai deskripsi harga pun cocok,2
paket gak pernah sampek ke tujuan tapi udah dibatalin di bilang pulak pembeli menolak malah kurirnya ngasih bukti fotoin paket trus dia sendiri yang mengang aneh kurir nya juga gak ramah bukan nya ngantar ke tujuan malah di chat dan di foto doang trus kalo saya balas chatnya gak pernah di balas cuma read doangeh tau² nya paket saya udah di balikin ke pembelitolong ya saya udah nunggu lama loh malah di kembali kan gitu ajaini yang salah kurir atau shoppe nya sih,0
joss sangat membantu,2
lelet pengiriman nya,0
is the best,2
aplikasi busuk udah bagus di tokopedia aja daripada disini,0
good 👍,2
oke,2
mantab lah,2
padahal pengguna lama tp makin kesini makin kerasa penurunan kualitasnya mulai dr pengiriman sampai fitur fitur yg sering error selain itu walaupun saya pengguna tapi jujur izin🫷🏻 iklan shopee ini ganggu bgt selalu muncul di mana mana bikin risih,1
bagus banget,2
mantep,2
oke,2
pengiriman sngt lama di beberapa ekspedisi seperti jt jne reguler maupun cargo,1
penjualan produk berkualitas tinggiselalu dijaga terus jangan kasih kendor bosqu,2
tolong adsnya dikondisikan lagi bacamain game tiba pindah ke aps shopee pdhl ga mencet apa muak sikap izin,0
selalu oke barang di shopee,2
sangat membantu sekali,2
kenapa tidak bisa digunakan,0
mantappplah untuk belanja jadi mudah,2
mantap,2
bagus,2
belanja di shopi indonesia mudah dan aman ayo kita belanja di shopi tidak di ragukan lagi apa yang kita butuhkan adashopi terpercaya buat saya,2
ringkas,2
pengiriman menggunakan spx smakin kmari makin lambat,1
aplikasinya lengkap dan mudah dipahami 👍☺️,2
pesen shopeefood eh kepencet pesan mau batalin gaada muncul tampilan pembatalan langsung aja pembayaran berhasil maruk bgt jd aplikasi baru kali ini aku kasih rating b abis ini aku uninstall chat cs jg gaada guna,0
iklannya tuh maksa banget kadang sebelum di sentuh layarnya udh beralih ke aplikasinya padahal lagi asik main,0
lumayan,1
ok,2
dana sudah terpotong namun transfer tidak masuk dana ga bisa di refund terakhir kali saya menggunakan aplikasi ini untuk pembayaran diluar aplikasi shopee untuk event shopping pilihan cukup bijak namun diluar itu jangan menggunakan aplikasi ini untuk pembayaran diluar aplikasi,0
pokoknya mantap,2
sarana media belanja online terpercaya,2
belanja mudah harga murah,2
kalo gak gacor bukan shopee,2
belanja di shoppe murah banget,2
coba aplikasi shopee di tambah fitur masukin nomer kurirnya biar klo paket mau sampe bisa di chat kurirnya,1
lu kenape hah bisa nggak jgan muncul terusgua kagak mau liat lu terusss gua juga banyak pekerjaanplisss,0
okeh,2
saya ngeri udah kali tiba ada notif dr shopee ngirimin kode otp padahal saya sama sekali kagak ada log in shopee yang tau password shopee saya jg cuma saya ada orang lain yang coba mau log in shopee saya bahaya kalau berhasil log in bisa pake paylater saya ntar saya yang dikejar buat bayar pdhl bkn saya yg pake parah,0
mantul,2
berguna,2
jos,2
aplikasi ini belum sepenuhnya sempurnaada beberapa bagian dalam menu aplikasi mengalami freze,0
bisa diem gk lu iklan lu dimana gedeg bgt dah ah,0
bad,2
tidak bisa cod,0
sangat membantu👍👍👍,2
makin kecewa sama shopee semenjak tak pakai jnt kini pengiriman super lemot bahkan sampai satu bulan belum nyampek aplikasi juga menguras batery dan data karena live video makin bikin kecewa tak ada solusi pasti apalagi yg paket agak besar dikit kurirnya malas kayaknya kalau seperti ini saya ucapkan selamat tinggal pada shopee,0
merugikan penjual sekarang potongan pajak nya naik jadi jangan jualan disini gaesss bad marketplace,0
gilaaaa pengiriman terlama menurut saya sih ini pake kurir shope lagi gwe kira bakal lebih cepet kaya toko sebelah malah lebih lama,0
pelayanan makin bagus pengiriman semakin cepat,2
okeeehmantabs,2
seneng pake shopee banyak diskon tapi biaya layanan nya terlalu mahal,2
bagus banyakpromo dan diskon,2
belanja hemat di shopee semua yang dibutuhkan ada di shopee semoga layanan semakin baik tempatnya mencari segala kebutuhan belanja yang praktis ekonomis,2
pengiriman nya jelek selalu melebihi dari estimasi pengiriman yang seharusnya mohon perbaiki lagi pengirimannya agar pembeli nya tidak menyesal jadi langganan shopee,0
spaylater saya dinonaktifkan padahal tagihan sudah lunas semua sudah mengajukan aktifasi tapi tidak ada kelanjutan,0
the best,2
kasih tindak punisment oknum seller grade star yang kirim barang tidak sesuai pesanan,0
sangat membantu untuk yang malas berbelanja keluar rumah,2
ribettttttt,0
iklan yang ditampilkan sebaiknya variatif tidak sebatas hanya yang sudah pernah dicari searching atau dibeli lalu lain hal kolom searching sebaiknya ga spam atau menyarankan ke produk dewasa kecuali di ketik manual ethic,2
kok gk bisa cod lagi padahal aku gk pernah retur atw komplan masalh pembayaran,0
goodddd,2
alhamdulillah sangat terbantu dengan ada nya shoppe,2
gj banget mau buka game pdhl gk ad iklan tiba aj nongol tanpa pemberitahuan ini udh di rencanaka apa gimana😭,1
bagus,2
belanja udah bnyak tpi spinjam tdk bisa,1
barang selalu sesuai hanya ada beberapa yg tdk sesuai vidio penawaran,2
halo sekarang futur cod ke almaat saya kenapa tidak tersedi lagi wyyy,0
barang dan apapun yg dijual di shopee ga bohong sesuai dengan apa yg di vidiokan ga sprti apk sebelah yg di vidiokan sma brng yg datang beda jauh dn ga ada kesamaan meskipun harga murah tpi berasa kena tipu,2
sangat bagus,2
penjual amanah,2
keren kalian salut buat kinerja kalian ndak salah pilih sama layananmu kamu satu satunya yg terinstall di hpku harapanku lebih tingkatkan lagi dan lagi kinerjamu lebih open dan peduli dengan customermu salam terima kasih,2
sangat tidak di anjurkan bagi penjual untuk berjualan di aplikasi ini dana penjualan yg harusnya bisa untuk modal kembali berjualan malah di tahan oleh sistem shopee dgn alasan pengecekan berhari dgn begitu membuat penjual menjadi rugi dr segi apapun,0
knapa gk bisa cod lgi,2
saya suka belanja di shoppe tidak pernah kecewa bagus pelayanan nya dam sangat bisa di oercaya,2
enak banget pake aplikasi nya,2
bagus,2
suka tapi kalo buka shopee langsung ke halaman live males banget kenapa ngga ke beranda aja sih,1
halo kak akun saya tiba keluar gk bisa masuk kembali itu gimana yaa kak,1
tempat belanja keperluan dangang terpercaya,2
bagus aplikasinya,2
biaya adminnya gede banget,0
belanja di shopee lebih mudahmurah dan bnyk diskon,2
semua baguscuma hal yang saya pusingyaitu paket telat dateng nyarata² haritelat nya pas di kurir motorpengantaran ke rumah,2
alhamdulillah tiap belanja di shopee barang bagus sesuai pesanan,2
gud,2
mantapp,2
barang datang sesuai dengan pesanan,2
good apk,2
belanja online nyaman,2
aisyah 🏩,2
bagus,2
mudah bonus melimpah,2
bisa ngga gak usah muncul pas lagi main game ato ngga lagi baca wp ganggu tau ngga tibatiba kebuka aplikasi shopee nya,0
sampai saat ini masih aplikasi online yang terbaik,2
bagusssss,2
membantu dan simpel tanpa harus keluar rumah dan ngantri ditoko apa yg dicari serba ada dan jangan salah pilih pastikan rating penilaian yg beli dan produk nya sesuai yg di sukai bnyk orngdan tidak tertipu produk abal abal,2
di jamin murah apalagi pake paylater mantap shopeee,2
sesuai dengan deskripsi,2
